file,label,jitter,shimmer,f0_mean,f0_std,f0_cv,energy_cv,spectral_centroid,spectral_bandwidth,spectral_flatness,spectral_rolloff
demo_speaker0.mp3,Real,0.02942,0.212686,119.9,24.4,0.2033,0.8303,2162.1,2234.0,0.003073,3711.6
demo_speaker2.mp3,Real,0.027235,0.212589,88.4,14.7,0.1658,1.1533,1885.2,2268.5,0.057043,3899.7
my_reference_audio.m4a,Real,0.022279,0.141876,94.3,11.5,0.1214,0.8816,2146.8,2328.8,0.01486,4056.8
cloned_output.wav,Fake,0.024422,0.302125,223.3,23.2,0.104,0.6623,2524.8,2088.5,0.0367,4576.8
output_v2_en-au.wav,Fake,0.045853,0.410852,203.7,32.6,0.1602,0.7784,2098.7,1774.8,0.029745,3667.7
output_v2_en-br.wav,Fake,0.046876,0.426745,208.9,35.5,0.17,0.7831,2825.7,2170.0,0.045688,4948.2
output_v2_en-default.wav,Fake,0.026764,0.417926,187.5,15.0,0.0798,0.646,2196.8,1813.1,0.03289,3819.0
output_v2_en-india.wav,Fake,0.033565,0.396324,190.7,27.9,0.1461,0.7144,1955.9,2006.5,0.026455,3791.9
output_v2_en-newest.wav,Fake,0.039703,0.274286,95.0,13.1,0.1376,0.7791,2234.1,2215.4,0.029436,4367.6
output_v2_en-us.wav,Fake,0.029102,0.404421,220.3,54.5,0.2473,0.8618,2059.2,1810.5,0.018891,3805.0
output_v2_es.wav,Fake,0.033291,0.492607,201.9,17.4,0.0861,0.621,2629.4,2112.4,0.022372,4712.1
output_v2_fr.wav,Fake,0.035768,0.392496,203.3,15.6,0.0765,0.5446,2556.1,2000.8,0.034253,4405.9
output_v2_jp.wav,Fake,0.025552,0.404908,203.7,19.0,0.0932,0.688,2629.9,1979.3,0.037896,4441.1
output_v2_zh.wav,Fake,0.032113,0.429636,205.5,18.2,0.0887,0.7639,2567.2,2007.1,0.023338,4388.1
tmp.wav,Fake,0.026092,0.183008,218.4,30.0,0.1374,0.7186,3220.9,2811.9,0.032513,5728.0
